Date,Open,High,Low,Close
1-Jan-15,27485.77,27545.61,27395.34,27507.54
2-Jan-15,27521.28,27937.47,27519.26,27887.9
5-Jan-15,27978.43,28064.49,27786.85,27842.32
6-Jan-15,27694.23,27698.93,26937.06,26987.46
7-Jan-15,26983.43,27051.6,26776.12,26908.82
8-Jan-15,27178.77,27316.41,27101.94,27274.71
9-Jan-15,27404.19,27507.67,27119.63,27458.38
12-Jan-15,27523.86,27620.66,27323.74,27585.27
13-Jan-15,27611.56,27670.19,27324.58,27425.73
14-Jan-15,27432.14,27512.8,27203.25,27346.82
15-Jan-15,27831.16,28194.61,27703.7,28075.55
16-Jan-15,28056.61,28176.1,27945.31,28121.89
19-Jan-15,28249.84,28334.06,28197.36,28262.01
20-Jan-15,28324.85,28829.29,28324.85,28784.67
21-Jan-15,28843.09,28958.1,28792.57,28888.86
22-Jan-15,28957.79,29060.41,28892.23,29006.02
23-Jan-15,29189.45,29408.73,29165.56,29278.84
27-Jan-15,29451.65,29618.59,29286.09,29571.04
28-Jan-15,29565.72,29786.32,29417.67,29559.18
29-Jan-15,29516.49,29740.63,29378.3,29681.77
30-Jan-15,29801.6,29844.16,29070.48,29182.95
2-Feb-15,29143.63,29268.13,28958.52,29122.27
3-Feb-15,29217.4,29253.06,28900.41,29000.14
4-Feb-15,29129.85,29133.62,28824.68,28883.11
5-Feb-15,28912.38,29277.83,28753.29,28850.97
6-Feb-15,28892.21,28922.85,28647.14,28717.91
9-Feb-15,28566.5,28566.5,28183.32,28227.39
2-Mar-15,29533.42,29576.32,29259.77,29459.14
3-Mar-15,29500.19,29636.86,29364.87,29593.73
4-Mar-15,29937.27,30024.74,29289.05,29380.73
5-Mar-15,29436.77,29518.32,29162.47,29448.95
9-Mar-15,29316.54,29321.06,28799.76,28844.78
1-Apr-15,27954.86,28298.34,27889.02,28260.14
6-Apr-15,28351.94,28530.81,28221.99,28504.46
7-Apr-15,28582.33,28641.08,28274.36,28516.59
